CourseNum, SectionID, ClassType, Section, Day, Time, Building, Room, StudentsNumber
MGT-45, 911396, LE, A00, MW, 11:00a-1:50p, WFH, 1N108, 44
POLI-126, 908893, LE, A00, TuTh, 2:00p-4:50p, WLH, 2110, 6
POLI-121, 915542, LE, A00, MW, 5:00p-7:50p, HSS, 2321, 25
COMM-10, , LE, A00, TuTh, 11:00a-1:50p, CENTR, 222, 47
COMM-10, 909837, DI, A01, Th, 3:00p-4:50p, WLH, 2112, 24
COMM-10, 909838, DI, A02, F, 11:00a-12:50p, HSS, 1128A, 23
MGT-4, 909536, LE, A00, MTuWTh, 12:30p-1:50p, CSB, 002, 7
MGT-4, 911393, LE, A00, TuTh, 11:00a-1:50p, OTRSN, 1S113, 58
MGT-5, 911383, LE, A00, TuTh, 8:00a-10:50a, WFH, 1N108, 52
LTSP-150B, 908767, LE, A00, MW, 11:00a-1:50p, HSS, 2150, 3
MATH-120A, , LE, A00, MWF, 8:00a-9:50a, CENTR, 109, 79
MATH-120A, 909565, DI, A01, MW, 2:00p-2:50p, PETER, 104, 43
MATH-120A, 909566, DI, A02, MW, 3:00p-3:50p, PETER, 104, 36
CSE-5A, , LE, A00, MW, 8:00a-10:50a, WLH, 2111, 28
CSE-5A, 909160, DI, A01, MW, 12:00p-12:50p, WLH, 2204, 26
CSE-5A, , LE, A00, TuTh, 8:00a-10:50a, WLH, 2111, 28
CSE-5A, 909899, DI, A01, TuTh, 12:00p-12:50p, CSB, 005, 30
MGT-452, 910074, LE, A00, F, 12:30p-6:30p, OTRSN, 1E106, 0
MGT-103, 911386, LE, A00, MW, 8:00a-10:50a, OTRSN, 1S113, 69
MGT-103, 911397, LE, A00, MW, 8:00a-10:50a, OTRSN, 1S113, 79
CSE-134B, 909157, LE, A00, MTuWTh, 8:00a-9:20a, CENTR, 105, 94
CGS-114, 909076, LE, A00, MW, 2:00p-4:50p, CENTR, 207, 10
CGS-112, 909075, LE, A00, TuTh, 11:00a-1:50p, SEQUO, 148, 18
MGT-459, 910065, LE, A00, S, 8:00a-11:00a, OTRSN, 1E106, 0
PHIL-15, , LE, A00, MW, 2:00p-4:50p, PETER, 102, 16
PHIL-15, 909632, DI, A01, MW, 12:00p-12:50p, SOLIS, 111, 4
PHIL-15, 909633, DI, A02, MW, 1:00p-1:50p, SOLIS, 111, 12
PHIL-10, , LE, A00, MW, 11:00a-12:50p, HSS, 1128A, 45
PHIL-10, 908861, DI, A01, MW, 10:00a-10:50a, HSS, 1128A, 16
PHIL-10, 908862, DI, A02, MW, 1:00p-1:50p, HSS, 1128A, 13
PHIL-10, , LE, A00, MW, 11:00a-12:50p, CSB, 001, 45
PHIL-10, 909629, DI, A01, MW, 10:00a-10:50a, CSB, 001, 33
PHIL-10, 909630, DI, A02, MW, 1:00p-1:50p, CSB, 001, 28
PHIL-13, , LE, A00, TuTh, 11:00a-1:50p, HSS, 1128A, 20
PHIL-13, 908864, DI, A01, TuTh, 10:00a-10:50a, HSS, 1128A, 10
PHIL-13, 908865, DI, A02, TuTh, 2:00p-2:50p, HSS, 1128A, 10
CHEM-114A, , LE, A00, MTuWTh, 9:30a-10:50a, GH, 242, 51
CHEM-114A, 909080, DI, A01, TuTh, 11:00a-11:50a, GH, 242, 51
VIS-60, , LE, A00, MW, 9:00a-11:50a, SME, 149, 56
VIS-60, 908976, LA, A01, MW, 1:00p-3:50p, MANDE, B-206, 25
VIS-60, 908977, LA, A02, TuTh, 9:00a-11:50a, MANDE, B-206, 22
VIS-60, 908978, LA, A03, TuTh, 1:00p-3:50p, MANDE, B-206, 9
HIUS-113, 909945, LE, A00, MW, 11:00a-1:50p, SEQUO, 147, 28
COGS-102A, , LE, A00, MW, 11:00a-1:50p, MANDE, B-150, 60
COGS-102A, 909831, DI, A01, MW, 2:00p-2:50p, MANDE, B-150, 60
MGT-131A, 911387, LE, A00, TuTh, 11:00a-1:50p, WFH, 1N108, 35
CHEM-143B, , LE, A00, TuTh, 8:00a-9:20a, YORK, 2722, 0
CHEM-143B, 909096, LA, A01, MTuWTh, 9:30a-12:20p, NSB, 1311, 0
CHEM-143B, 909097, LA, A02, MTuWTh, 9:30a-12:20p, NSB, 1319, 0
CHEM-143A, , LE, A00, MW, 11:00a-11:50a, YORK, 2622, 0
